base1,base2,base3
3,10,66
3,17,129
5,12,68
5,33,257
6,20,132
6,34,258
7,19,67
7,19,131
7,21,37
7,22,70
7,22,134
7,35,131
7,37,69
7,38,134
7,51,147
7,54,166
7,69,133
7,83,195
7,150,198
10,24,136
11,25,137
11,26,42
11,26,266
11,26,298
11,35,131
11,35,259
11,42,74
11,58,282
11,58,298
11,67,259
11,282,298
12,40,264
13,21,261
13,28,76
13,28,140
13,41,265
13,44,140
13,69,133
13,133,261
13,149,261
13,149,277
13,149,389
13,277,389
14,38,134
14,38,262
14,42,74
14,44,140
14,44,268
14,70,262
14,74,138
14,76,268
14,102,294
14,108,332
14,138,266
14,166,390
14,300,396
15,38,134
15,38,135
15,38,142
15,39,134
15,39,135
15,42,75
15,43,75
15,46,134
15,46,142
15,77,133
15,77,141
17,24,80
19,21,273
19,26,82
19,67,259
19,67,263
19,71,263
19,71,323
19,145,273
19,263,323
20,48,272
21,22,52
21,25,49
21,28,276
21,37,261
21,45,269
21,52,276
21,54,278
21,60,308
21,263,293
22,50,274
22,52,84
22,52,85
22,53,85
22,53,116
22,70,262
22,84,148
22,85,116
23,39,135
23,51,147
23,52,85
23,52,86
23,53,85
23,53,277
23,54,86
23,54,278
23,67,263
23,67,275
23,71,135
23,71,263
23,83,275
25,28,88
25,28,152
25,49,81
25,56,152
25,60,152
25,60,156
25,60,184
25,156,184
26,43,267
26,43,298
26,56,152
26,56,280
26,88,280
26,138,266
26,267,298
27,42,90
27,43,267
27,56,153
27,57,153
27,58,90
27,58,282
27,83,259
27,83,275
27,139,266
27,139,267
28,76,268
28,77,204
28,84,148
28,88,280
28,89,281
28,148,276
28,153,216
28,269,332
29,45,269
29,53,277
29,57,152
29,57,153
29,60,152
29,60,156
29,89,281
29,92,156
29,92,284
29,141,261
29,141,269
29,149,261
29,149,277
30,76,268
30,76,270
30,76,284
30,78,268
30,78,270
30,84,150
30,86,150
30,92,268
30,92,284
30,154,266
30,154,282
33,40,96
34,48,160
35,37,289
35,38,290
35,45,297
35,161,289
35,162,290
35,165,293
35,166,418
37,41,49
37,41,51
37,43,51
37,43,57
37,44,100
38,42,50
38,52,164
39,41,51
39,41,53
39,43,51
39,43,291
39,45,53
39,46,134
39,46,166
39,54,166
39,163,291
39,165,293
41,42,56
41,42,104
41,49,97
41,56,296
42,44,104
42,45,108
42,50,98
42,105,120
43,45,57
43,45,297
43,46,106
43,58,106
43,58,298
44,104,168
44,104,170
44,106,170
44,106,232
44,168,296
44,170,232
45,46,108
45,49,101
45,53,101
46,78,270
46,102,294
46,104,170
46,104,172
46,106,170
46,108,172
46,142,270
47,79,143
49,52,112
49,52,176
49,56,176
49,81,145
49,97,161
49,105,169
49,153,209
50,56,176
50,56,304
50,98,162
50,112,304
50,120,304
50,120,312
50,120,368
50,312,368
51,56,178
51,58,178
52,112,304
53,54,116
53,57,113
53,60,308
54,84,180
54,112,306
54,114,306
54,116,180
