base1,base2,base3,base4,base5
7,19,67,259,1027
7,21,37,261,517
7,22,70,262,1030
7,37,69,517,1029
11,13,73,137,265
11,13,137,265,521
11,26,42,266,522
11,26,138,266,2058
11,35,131,515,2051
11,41,73,137,2057
11,41,137,521,2057
13,21,133,261,2053
13,25,73,265,1033
13,25,265,521,1033
13,28,76,268,1036
13,69,133,1029,2053
14,38,134,518,2054
14,42,74,522,1034
14,44,140,524,2060
14,74,138,1034,2058
19,22,82,146,274
19,22,82,274,1042
19,50,82,146,2066
19,50,82,1042,2066
19,519,579,643,2563
21,22,52,276,532
21,28,148,276,2068
22,26,146,274,530
22,26,274,530,1042
22,52,84,532,1044
23,29,149,277,533
23,39,135,263,1031
23,39,135,519,1031
23,53,149,277,2069
23,71,135,519,1031
23,83,147,515,2067
23,83,147,531,2067
25,28,88,280,1048
25,41,73,1033,2057
25,41,521,1033,2057
25,156,184,664,1176
26,50,146,530,2066
26,50,530,1042,2066
26,56,152,536,2072
27,121,345,1113,2137
27,1075,1107,1299,3091
28,84,148,1044,2068
29,53,277,533,2069
29,57,152,537,1049
29,57,153,537,1049
29,92,156,540,1052
29,92,156,540,2076
29,92,284,540,2076
35,41,161,545,2081
37,38,100,164,292
37,38,100,164,2084
37,49,97,289,1057
37,52,100,292,1060
37,52,100,1060,2084
38,44,164,292,548
38,44,164,548,2084
39,46,166,294,1030
39,46,166,294,1062
41,42,56,296,552
41,56,168,296,2088
42,44,104,552,1064
43,46,106,298,554
43,58,106,554,1066
44,52,292,548,1060
44,52,548,1060,2084
44,104,168,1064,2088
46,58,298,554,1066
46,78,270,526,2062
46,78,270,1038,2062
46,142,270,1038,2062
47,79,143,527,1039
47,79,271,527,1039
49,52,112,304,1072
50,56,176,560,2096
50,312,368,1328,2352
54,179,242,690,2226
54,2087,2150,2214,2598
55,118,178,566,2086
55,118,178,566,2102
55,118,182,566,2086
55,118,182,566,2102
57,58,184,312,1080
57,58,184,568,1080
58,114,304,1074,2098
58,114,306,1074,2098
58,184,312,1080,2104
59,89,283,1043,2075
59,89,283,1051,2075
59,91,283,1043,2075
59,91,283,1051,2075
61,188,316,572,2108
61,188,316,1084,2108
67,69,81,97,577
67,69,81,577,2113
67,69,97,577,1089
67,69,577,1089,2113
67,70,82,322,1090
67,73,97,321,1089
67,73,321,1089,2113
67,81,97,321,577
67,81,321,577,2113
67,97,321,577,1089
67,321,577,1089,2113
69,73,97,193,1089
69,73,193,1089,2113
69,81,97,193,577
69,81,193,577,2113
69,97,193,577,1089
69,193,577,1089,2113
73,74,104,200,2120
73,76,88,328,1096
73,81,97,193,321
73,81,193,321,2113
73,88,104,1096,2120
73,97,193,321,1089
73,193,321,1089,2113
74,76,200,328,584
74,98,194,578,2114
74,104,200,584,2120
76,88,328,584,1096
76,2062,2076,2316,2572
77,110,236,356,1132
77,110,236,364,1132
78,92,332,588,2060
78,92,332,588,2124
79,108,205,333,1101
79,109,205,333,1101
81,82,112,336,592
81,88,208,336,2128
81,97,193,321,577
81,193,321,577,2113
82,84,112,592,1104
84,88,208,1104,2128
86,92,212,596,1108
86,116,212,1108,2132
88,104,584,1096,2120
91,121,345,1113,2137
92,116,596,1108,2132
94,158,286,1054,2078
94,158,542,1054,2078
97,100,112,352,1120
97,193,321,577,1089
98,104,224,608,2144
100,609,624,736,2656
101,116,228,608,2148
101,116,228,612,2148
109,110,236,356,1132
109,110,236,364,1132
113,116,368,624,2160
114,116,368,624,2160
114,116,368,1136,2160
121,122,376,632,1144
121,122,376,632,2168
131,134,146,162,642
131,134,146,642,2178
131,134,162,642,1154
131,134,642,1154,2178
131,137,161,641,2177
131,138,162,386,1154
131,138,386,1154,2178
131,146,162,386,642
131,146,386,642,2178
131,162,386,642,1154
131,386,642,1154,2178
133,145,193,385,1153
133,148,196,388,1156
134,138,162,194,1154
134,138,194,1154,2178
134,140,164,644,2180
134,146,162,194,642
134,146,194,642,2178
134,162,194,642,1154
134,194,642,1154,2178
135,149,389,1157,2181
138,146,162,194,386
138,146,194,386,2178
138,162,194,386,1154
138,194,386,1154,2178
139,141,153,169,201
145,146,176,208,2192
145,148,208,400,1168
145,176,208,1168,2192
146,152,176,656,2192
146,162,194,386,642
146,194,386,642,2178
148,152,400,656,1168
151,155,179,659,2195
152,176,656,1168,2192
153,156,184,664,1176
154,220,472,712,2264
154,220,472,728,2264
158,216,410,666,2202
158,218,410,666,2202
161,162,176,416,672
162,164,224,672,1184
162,194,386,642,1154
164,168,224,1184,2208
169,172,232,424,2216
169,177,225,417,673
169,184,232,1192,2216
169,225,417,673,2209
172,184,424,1192,2216
173,181,229,421,2213
179,182,242,690,2226
193,196,208,448,1216
193,321,577,1089,2113
194,200,224,704,2240
194,386,642,1154,2178
201,202,232,456,1216
201,202,232,456,1224
205,217,233,457,1225
206,214,230,710,2246
218,220,472,712,2264
218,220,472,728,2264
242,244,752,1264,2288
259,262,274,322,1282
261,262,276,292,772
261,262,276,772,2308
261,262,292,772,1284
261,262,772,1284,2308
261,268,292,388,1284
261,268,388,1284,2308
261,276,292,388,772
261,276,388,772,2308
261,292,388,772,1284
261,388,772,1284,2308
262,268,292,324,1284
262,268,324,1284,2308
262,276,292,324,772
262,276,324,772,2308
262,292,324,772,1284
262,324,772,1284,2308
265,268,280,328,1288
266,290,386,770,2306
266,296,392,776,2312
267,269,777,1289,2312
267,269,777,1289,2313
267,270,282,298,2314
267,270,298,778,2314
268,276,292,324,388
268,276,324,388,2308
268,292,324,388,1284
268,324,388,1284,2308
270,282,298,394,2314
276,292,324,388,772
276,324,388,772,2308
278,282,306,338,402
289,290,352,416,2336
289,292,304,352,1312
289,304,352,1312,2336
289,609,673,1569,2593
290,296,416,800,2336
292,324,388,772,1284
293,299,313,329,425
293,299,313,361,425
295,297,309,357,421
296,304,800,1312,2336
299,301,313,329,425
299,301,313,361,425
306,312,368,1328,2352
309,316,432,820,1332
309,316,436,820,1332
321,322,336,352,832
322,324,352,832,1344
323,338,450,834,1346
324,328,448,1344,2368
324,388,772,1284,2308
326,338,354,450,1346
331,333,345,361,457
331,334,346,362,842
331,346,362,458,842
337,338,368,464,2384
337,344,368,848,2384
338,354,450,834,1346
353,417,545,1313,2337
353,417,801,1313,2337
385,388,400,448,1408
386,392,416,896,2432
395,419,899,1411,2435
397,412,428,460,1420
402,404,464,912,2432
402,404,464,912,2448
410,434,466,914,2450
450,452,464,1472,2496
515,517,577,641,769
515,521,545,641,2561
515,545,577,641,2561
517,529,577,769,1537
517,532,580,772,1540
518,524,548,644,2564
519,531,579,643,2563
521,522,536,552,776
521,522,536,776,2568
521,522,552,776,1544
521,522,776,1544,2568
521,524,536,552,648
521,524,536,648,2568
521,524,552,648,1544
521,524,648,1544,2568
521,529,545,1537,2561
521,536,552,648,776
521,536,648,776,2568
521,552,648,776,1544
521,648,776,1544,2568
522,524,536,552,584
522,524,536,584,2568
522,524,552,584,1544
522,524,584,1544,2568
522,536,552,584,776
522,536,584,776,2568
522,552,584,776,1544
522,584,776,1544,2568
523,1543,1571,1666,1795
523,1543,1571,1667,1795
524,536,552,584,648
524,536,584,648,2568
524,552,584,648,1544
524,584,648,1544,2568
527,555,651,779,1539
527,555,651,779,1547
529,532,592,784,1552
529,545,577,1537,2561
530,536,560,656,2576
533,540,564,596,788
536,552,584,648,776
536,584,648,776,2568
539,541,569,665,2585
549,555,569,1577,2601
551,553,565,1573,2596
551,553,565,1573,2597
552,584,648,776,1544
555,557,569,1577,2601
556,564,580,676,804
556,564,612,676,804
577,578,608,704,2624
577,580,592,832,1600
577,592,608,1600,2624
578,584,608,704,2624
578,1091,1218,1346,3138
579,706,834,1090,2626
579,706,834,1602,2626
581,2372,2630,2756,3652
581,2630,2756,2884,3652
583,595,835,1603,2627
583,709,837,1605,2628
583,709,837,1605,2629
584,592,608,1600,2624
584,648,776,1544,2568
586,598,626,658,850
586,598,626,722,850
588,596,612,708,836
590,594,618,714,842
590,602,618,714,842
590,604,620,716,2636
593,689,913,1169,2705
593,689,913,1681,2705
598,602,626,658,850
598,602,626,722,850
609,612,624,736,2656
609,673,801,1569,2593
613,625,737,865,1633
616,866,880,1888,2848
616,866,880,1888,2912
618,632,864,1640,2664
618,632,872,1640,2664
625,657,849,1617,2641
625,721,849,1617,2641
641,642,656,672,896
642,644,672,704,1664
644,648,704,1664,2688
646,676,900,1668,2692
647,653,709,1669,2693
651,653,905,1161,2697
651,653,905,1673,2697
652,676,708,900,2692
653,709,901,1669,2693
657,1201,1233,1425,3217
662,666,690,722,914
662,668,692,724,1684
662,692,724,916,1684
673,674,688,736,1696
674,676,688,928,1696
676,708,900,1668,2692
689,721,913,1169,2705
689,721,913,1681,2705
714,716,728,968,2760
769,772,784,832,1792
770,776,800,896,2816
773,777,800,897,1793
773,777,801,897,1793
775,790,838,1798,2822
779,809,905,1801,2825
794,824,856,920,2840
805,820,868,932,1828
833,2309,2819,2833,2945
835,837,849,961,2817
835,837,849,961,2881
897,900,912,928,2944
898,900,912,928,2944
1027,1029,1057,1089,1537
1027,1030,1090,1154,1282
1027,1041,1057,1281,1537
1027,1042,1058,1090,3074
1027,1058,1090,1154,3074
1029,1033,1089,1153,3073
1030,1034,1154,1282,1538
1031,1037,1093,1157,1541
1031,1038,1062,1158,1286
1031,1061,1093,1157,3077
1033,1041,1153,1281,3073
1034,1042,1058,1538,3074
1034,1058,1154,1538,3074
1034,1064,1160,1544,3080
1037,1061,1093,1541,3077
1041,1042,1072,1296,1552
1041,1042,1296,1552,3088
1041,1044,1072,1168,1552
1041,1044,1168,1552,3088
1041,1048,1072,1168,1296
1041,1048,1168,1296,3088
1041,1072,1168,1296,1552
1041,1168,1296,1552,3088
1042,1044,1072,1104,1552
1042,1044,1104,1552,3088
1042,1048,1072,1104,1296
1042,1048,1104,1296,3088
1042,1072,1104,1296,1552
1042,1104,1296,1552,3088
1044,1048,1072,1104,1168
1044,1048,1104,1168,3088
1044,1072,1104,1168,1552
1044,1104,1168,1552,3088
1046,3086,3142,3332,3590
1046,3086,3142,3334,3590
1048,1072,1104,1168,1296
1048,1104,1168,1296,3088
1051,1075,1107,1299,3091
1054,1110,1302,1558,3078
1054,1110,1302,1558,3094
1058,1064,1184,1568,3104
1059,1061,1313,1569,3105
1061,1121,1313,1569,3105
1066,1080,1128,1192,1576
1067,1069,1129,1577,3113
1072,1104,1168,1296,1552
1091,1218,1346,1602,3138
1096,1176,1192,1416,1672
1104,1168,1296,1552,3088
1112,1128,1160,1352,1608
1112,1128,1224,1352,1608
1153,1154,1184,1216,3200
1153,1168,1184,1216,3200
1154,1160,1184,1664,3200
1157,1158,1412,1668,2180
1157,1158,1412,1668,3204
1159,1166,1190,1670,3206
1160,1168,1184,1664,3200
1161,1166,1418,1674,3210
1162,1165,1417,1673,3209
1163,1165,1417,1673,3209
1163,1166,1418,1674,3210
1172,1196,1252,1316,1700
1172,1196,1252,1444,1700
1176,1192,1224,1416,1672
1177,1180,1208,1240,1432
1180,1188,1236,1428,1684
1180,1204,1236,1428,1684
1186,1315,1378,1826,2338
1186,1315,1378,1826,3362
1187,1201,1249,1441,1697
1187,1201,1441,1697,3233
1187,1250,1314,1698,3234
1187,1250,1442,1698,3234
1196,1204,1252,1316,1700
1196,1204,1252,1444,1700
1201,1233,1425,1681,3217
1226,1250,1474,1730,3266
1232,1601,1732,1760,3776
1233,1236,1264,1728,3280
1233,1236,1264,1744,3280
1281,1282,1296,1312,1792
1282,1284,1312,1344,1792
1283,1297,1313,1409,3329
1284,1288,1344,1408,3328
1289,1292,1352,1800,3336
1289,1297,1313,1793,3329
1289,1304,1352,1416,1800
1289,1352,1416,1800,3336
1291,1306,1418,1802,3338
1314,2339,2402,2466,2850
1315,1378,1442,1826,2338
1315,1378,1442,1826,3362
1324,1332,1380,1444,1828
1324,1336,1384,1448,3368
1324,1384,1448,1832,3368
1346,1348,1376,1472,3392
1348,1352,1376,1856,3392
1538,1544,1568,1664,3584
1543,1547,1571,1666,1795
1543,1547,1571,1667,1795
1546,1554,1600,1794,3586
1546,1554,1602,1794,3586
1549,1550,1580,1676,3596
1555,1558,1618,1810,3602
1585,1588,1648,1712,1840
1605,1617,1633,1728,3649
1605,1617,1633,1729,3649
1610,1640,1736,1864,3656
2051,2057,2081,2177,2561
2051,2066,2082,2306,2562
2053,2054,2084,2116,2180
2053,2054,2116,2180,2308
2053,2065,2113,2305,3073
2053,2068,2084,2116,3076
2053,2068,2116,2308,3076
2054,2058,2114,2178,3074
2054,2060,2084,2180,2564
2054,2060,2180,2308,2564
2054,2082,2114,2562,3074
2057,2307,2337,2369,3329
2059,2062,2122,2186,2314
2059,2067,2115,2179,2563
2059,2067,2115,2307,2563
2059,2074,2122,2186,3082
2059,2083,2115,2307,2563
2059,2089,2121,2305,3081
2059,2089,2121,2313,3081
2060,2068,2084,2564,3076
2060,2068,2308,2564,3076
2061,2108,2220,2604,3116
2061,2585,2601,2697,3593
2062,2074,2186,2314,3082
2062,2076,2124,2316,2572
2065,2068,2128,2320,3088
2066,2072,2096,2192,2576
2071,2087,2119,2311,2567
2071,2087,2183,2311,2567
2077,2092,2189,2569,3085
2077,2092,2189,2573,3085
2077,2093,2189,2569,3085
2077,2093,2189,2573,3085
2081,2082,2096,2336,2592
2081,2082,2336,2592,3104
2081,2084,2208,2592,3104
2081,2088,2208,2336,3104
2081,2096,2208,2336,2592
2081,2208,2336,2592,3104
2082,2084,2144,2592,3104
2082,2088,2144,2336,3104
2082,2096,2144,2336,2592
2082,2144,2336,2592,3104
2084,2088,2144,2208,3104
2084,2096,2144,2208,2592
2084,2144,2208,2592,3104
2087,2102,2150,2214,2598
2088,2096,2144,2208,2336
2088,2144,2208,2336,3104
2093,2108,2220,2604,3116
2096,2144,2208,2336,2592
2114,2120,2144,2240,2624
2115,2122,2242,2626,3138
2132,2136,2160,2256,2384
2132,2160,2256,2384,3152
2134,2138,2162,2258,3154
2144,2208,2336,2592,3104
2181,2182,2436,2692,3204
2192,2352,2384,2832,3344
2224,2256,2320,2704,3216
2224,2256,2448,2704,3216
2245,2257,2497,2753,3265
2305,2306,2336,2368,2432
2305,2320,2336,2368,3328
2306,2312,2336,2432,2816
2307,2313,2337,2369,3329
2309,2819,2833,2881,2945
2311,2325,2373,2437,2817
2311,2325,2373,2437,2821
2312,2320,2336,2816,3328
2317,2318,2332,2380,3340
2339,2345,2465,2849,3361
2339,2402,2466,2850,3362
2344,2392,2504,2632,3400
2344,2392,2504,2888,3400
2352,2384,2448,2832,3344
2354,2360,2416,2480,2864
2360,2376,2472,2856,3368
2360,2408,2472,2856,3368
2371,2374,2402,2882,3394
2373,2374,2500,2628,3396
2373,2374,2500,2884,3396
2374,2402,2498,2882,3394
2376,2648,2664,2760,3656
2392,2408,2504,2632,3400
2392,2408,2504,2888,3400
2437,2452,2500,2948,3460
2561,2562,2576,2592,2816
2562,2564,2592,2624,3584
2563,2566,2594,2626,2818
2563,2578,2594,2626,3586
2564,2568,2624,2688,3584
2566,2578,2594,2818,3586
2573,2585,2601,2697,3593
2577,2578,2704,2832,3600
2578,2608,2704,2832,3600
2581,2582,2612,2836,3604
2629,2630,2756,2884,3652
