base1,base2,base3
3,41,137
3,41,161
3,42,290
3,73,321
3,82,274
3,82,322
3,137,161
3,274,322
5,38,100
5,97,545
5,131,193
5,140,196
6,82,274
6,82,322
6,84,580
6,146,642
6,164,548
6,164,644
6,274,322
6,548,644
7,18,67
7,18,70
7,19,67
7,19,131
7,19,259
7,19,322
7,19,323
7,21,37
7,21,133
7,22,70
7,22,134
7,22,262
7,22,322
7,22,326
7,35,131
7,35,147
7,35,259
7,36,69
7,37,69
7,37,261
7,37,277
7,38,134
7,38,262
7,49,277
7,49,289
7,49,291
7,49,293
7,51,147
7,51,162
7,51,163
7,51,289
7,51,291
7,52,149
7,52,162
7,52,166
7,53,149
7,53,277
7,53,289
7,53,293
7,53,389
7,53,405
7,53,421
7,54,162
7,54,166
7,54,278
7,67,258
7,67,259
7,67,274
7,67,275
7,69,129
7,69,133
7,70,258
7,70,262
7,70,274
7,70,278
7,82,259
7,82,262
7,82,274
7,82,275
7,82,278
7,82,322
7,82,323
7,82,326
7,83,259
7,83,274
7,83,275
7,83,322
7,83,323
7,85,148
7,85,149
7,86,148
7,86,150
7,86,262
7,86,274
7,86,278
7,86,322
7,86,326
7,102,294
7,133,261
7,133,277
7,134,294
7,147,162
7,147,163
7,147,195
7,148,277
7,148,388
7,148,389
7,148,390
7,149,277
7,149,388
7,149,389
7,150,388
7,150,390
7,162,294
7,162,385
7,162,387
7,162,390
7,163,385
7,163,387
7,166,294
7,166,390
7,181,277
7,181,309
7,181,389
7,181,405
7,181,421
7,274,322
7,274,323
7,274,326
7,275,322
7,275,323
7,275,387
7,277,289
7,277,293
7,277,388
7,277,389
7,277,421
7,278,322
7,278,326
7,289,323
7,289,325
7,291,323
7,293,325
7,293,385
7,293,389
7,294,390
7,309,389
7,309,405
7,309,421
7,405,421
9,28,268
9,28,280
9,35,515
9,35,545
9,56,552
9,268,280
9,273,769
9,515,545
10,67,194
10,76,200
10,262,386
10,280,392
11,13,73
11,13,137
11,13,201
11,19,35
11,25,265
11,26,42
11,26,138
11,26,522
11,26,554
11,34,259
11,35,131
11,35,259
11,35,515
11,35,641
11,35,643
11,41,73
11,41,137
11,41,193
11,41,201
11,41,521
11,41,641
11,41,649
11,42,74
11,49,273
11,49,275
11,49,281
11,51,273
11,51,275
11,56,273
11,56,281
11,56,298
11,57,273
11,57,281
11,57,553
11,58,298
11,58,530
11,58,538
11,58,554
11,65,259
11,67,259
11,67,515
11,70,262
11,70,263
11,70,270
11,71,262
11,71,263
11,74,138
11,74,522
11,74,554
11,76,262
11,76,270
11,76,329
11,77,133
11,77,141
11,77,201
11,77,329
11,78,202
11,78,262
11,78,270
11,104,169
11,104,170
11,104,193
11,104,201
11,104,554
11,104,577
11,104,585
11,104,586
11,105,169
11,105,193
11,105,201
11,105,577
11,105,585
11,106,170
11,106,554
11,106,586
11,131,515
11,131,545
11,131,547
11,133,201
11,137,521
11,137,545
11,137,553
11,141,201
11,161,515
11,161,521
11,161,545
11,161,547
11,161,553
11,161,641
11,161,643
11,161,649
11,163,515
11,163,545
11,163,547
11,163,641
11,163,643
11,169,193
11,169,201
11,169,521
11,169,545
11,169,553
11,169,641
11,169,649
11,529,643
11,530,554
11,530,643
11,530,650
11,531,643
11,536,650
11,538,554
11,538,650
11,545,641
11,545,643
11,545,649
11,547,577
11,547,579
11,547,641
11,547,643
11,553,641
11,553,649
11,554,586
12,73,265
12,73,328
12,137,168
12,164,548
12,164,644
12,261,292
12,265,328
12,548,644
13,21,133
13,21,517
13,25,73
13,25,265
13,25,328
13,25,329
13,28,76
13,28,140
13,28,268
13,28,328
13,28,332
13,38,131
13,38,134
13,38,135
13,38,142
13,39,131
13,39,134
13,39,135
13,41,521
13,44,136
13,44,140
13,44,260
13,44,268
13,46,134
13,46,142
13,69,133
13,69,517
13,73,265
13,73,280
13,73,281
13,74,139
13,74,201
13,75,139
13,75,201
13,76,268
13,76,280
13,76,284
13,85,529
13,85,532
13,85,533
13,88,265
13,88,268
13,88,280
13,88,281
13,88,284
13,88,328
13,88,329
13,88,332
13,89,265
13,89,280
13,89,281
13,89,328
13,89,329
13,92,268
13,92,280
13,92,284
13,92,328
13,92,332
13,92,532
13,92,536
13,92,540
13,131,169
13,133,261
13,133,277
13,135,197
13,137,265
13,139,169
13,139,201
13,149,277
13,149,385
13,149,389
13,152,284
13,152,385
13,152,393
13,153,385
13,153,393
13,156,284
13,200,265
13,200,329
13,200,385
13,200,393
13,201,265
13,201,329
13,201,385
13,201,393
13,261,517
13,268,524
13,277,385
13,277,389
13,277,517
13,277,532
13,277,533
13,277,773
13,280,328
13,280,329
13,280,332
13,281,328
13,281,329
13,281,777
13,284,328
13,284,332
13,293,769
13,293,773
13,325,385
13,325,389
13,329,385
13,329,393
13,532,773
13,533,773
13,552,769
13,552,776
13,552,777
13,552,780
13,553,769
13,553,776
13,553,777
13,556,776
13,556,780
14,36,134
14,36,140
14,38,134
14,38,262
14,38,518
14,38,644
14,38,646
14,42,74
14,42,266
14,44,140
14,44,268
14,44,524
14,44,644
14,44,652
14,70,262
14,70,294
14,70,518
14,72,138
14,74,138
14,74,522
14,74,554
14,76,268
14,76,524
14,98,554
14,98,578
14,98,582
14,98,586
14,102,294
14,102,324
14,102,326
14,102,578
14,102,582
14,104,298
14,104,324
14,104,332
14,106,298
14,106,554
14,106,578
14,106,586
14,106,778
14,106,810
14,106,842
14,108,324
14,108,332
14,108,556
14,134,516
14,134,518
14,134,548
14,134,550
14,138,258
14,138,266
14,140,516
14,140,524
14,140,548
14,140,556
14,164,518
14,164,524
14,164,548
14,164,550
14,164,556
14,164,644
14,164,646
14,164,652
14,166,518
14,166,548
14,166,550
14,166,644
14,166,646
14,170,296
14,170,298
14,172,296
14,172,300
14,172,524
14,172,548
14,172,556
14,172,644
14,172,652
14,204,588
14,266,522
14,266,554
14,268,588
14,294,324
14,294,326
14,294,390
14,296,554
14,296,776
14,296,778
14,296,780
14,298,554
14,298,776
14,298,778
14,300,776
14,300,780
14,324,588
14,324,770
14,324,774
14,324,780
14,326,770
14,326,774
14,332,588
14,332,780
14,362,554
14,362,618
14,362,778
14,362,810
14,362,842
14,548,644
14,548,646
14,548,652
14,550,644
14,550,646
14,550,774
14,554,578
14,554,586
14,554,776
14,554,778
14,554,842
14,556,644
14,556,652
14,578,646
14,578,650
14,582,646
14,586,650
14,586,770
14,586,778
14,588,780
14,618,778
14,618,810
14,618,842
14,810,842
15,35,262
15,35,263
15,38,131
15,38,134
15,38,135
15,38,142
15,38,262
15,38,263
15,38,268
15,38,270
15,39,131
15,39,134
15,39,135
15,39,262
15,39,263
15,39,387
15,39,390
15,39,391
15,41,69
15,41,73
15,41,75
15,41,77
15,42,73
15,42,75
15,43,73
15,43,75
15,45,69
15,45,73
15,45,77
15,45,137
15,45,141
15,45,201
15,45,205
15,46,134
15,46,142
15,46,262
15,46,268
15,46,270
15,46,332
15,46,334
15,46,390
15,46,398
15,70,262
15,70,263
15,70,270
15,71,262
15,71,263
15,71,294
15,71,295
15,73,267
15,74,139
15,75,139
15,75,169
15,75,170
15,75,171
15,75,267
15,76,262
15,76,270
15,77,133
15,77,141
15,77,169
15,77,173
15,77,389
15,77,397
15,78,262
15,78,270
15,102,263
15,102,270
15,102,294
15,102,295
15,102,302
15,102,325
15,102,327
15,102,332
15,102,334
15,103,263
15,103,294
15,103,295
15,103,325
15,103,327
15,106,139
15,106,169
15,106,170
15,106,171
15,106,174
15,106,201
15,106,203
15,107,139
15,107,169
15,107,170
15,107,171
15,107,201
15,107,203
15,108,169
15,108,170
15,108,173
15,108,174
15,108,201
15,108,205
15,108,270
15,108,294
15,108,302
15,108,325
15,108,332
15,108,333
15,108,334
15,109,169
15,109,173
15,109,201
15,109,205
15,109,325
15,109,332
15,109,333
15,110,170
15,110,174
15,110,270
15,110,294
15,110,302
15,110,332
15,110,334
15,137,261
15,137,265
15,137,267
15,137,269
15,138,265
15,138,267
15,139,265
15,139,267
15,139,329
15,139,331
15,141,261
15,141,265
15,141,269
15,141,325
15,141,329
15,141,333
15,142,294
15,142,302
15,163,263
15,163,294
15,163,295
15,163,387
15,163,390
15,163,391
15,163,395
15,167,263
15,167,294
15,167,295
15,167,387
15,167,390
15,167,391
15,169,201
15,169,203
15,169,205
15,170,201
15,170,203
15,170,294
15,170,302
15,170,387
15,170,390
15,170,395
15,170,398
15,171,201
15,171,203
15,171,387
15,171,395
15,173,201
15,173,205
15,174,294
15,174,302
15,174,390
15,174,398
15,201,267
15,201,325
15,201,329
15,201,331
15,201,333
15,201,387
15,201,389
15,201,395
15,201,397
15,203,267
15,203,329
15,203,331
15,203,387
15,203,395
15,205,325
15,205,329
15,205,333
15,205,389
15,205,397
15,294,325
15,294,327
15,294,332
15,294,334
15,294,387
15,294,390
15,294,391
15,294,398
15,295,325
15,295,327
15,295,387
15,295,390
15,295,391
15,302,332
15,302,334
15,302,390
15,302,398
15,325,387
15,325,389
15,325,391
15,325,397
15,327,387
15,327,389
15,327,391
15,329,387
15,329,389
15,329,395
15,329,397
15,331,387
15,331,395
15,333,389
15,333,397
17,37,41
17,52,176
17,517,641
17,530,532
18,56,536
18,56,560
18,67,70
18,81,112
18,515,546
18,536,560
19,21,25
19,21,529
19,22,82
19,22,274
19,22,322
19,22,338
19,25,81
19,25,273
19,25,337
19,26,82
19,42,73
19,42,74
19,42,75
19,42,90
19,43,73
19,43,74
19,43,75
19,50,80
19,50,82
19,50,514
19,50,530
19,58,74
19,58,90
19,67,259
19,67,262
19,67,263
19,67,515
19,67,518
19,67,519
19,70,259
19,70,262
19,70,263
19,70,274
19,70,278
19,70,322
19,70,323
19,70,338
19,71,259
19,71,262
19,71,263
19,71,322
19,71,323
19,71,518
19,71,519
19,71,577
19,71,579
19,73,113
19,75,323
19,81,529
19,82,262
19,82,274
19,82,278
19,85,577
19,85,593
19,86,262
19,86,274
19,86,278
19,86,322
19,86,338
19,89,113
19,89,280
19,89,281
19,89,337
19,131,515
19,131,519
19,134,519
19,134,643
19,135,519
19,135,643
19,176,641
19,176,656
19,176,657
19,176,658
19,177,641
19,177,656
19,177,657
19,178,656
19,178,658
19,262,322
19,262,323
19,262,338
19,263,322
19,263,323
19,265,277
19,266,278
19,273,529
19,274,530
19,277,280
19,277,281
19,278,280
19,278,282
19,278,322
19,278,338
19,280,337
19,281,337
19,337,529
19,337,577
19,337,593
19,337,785
19,338,770
19,338,786
19,518,577
19,518,579
19,519,577
19,519,579
19,519,643
19,533,657
19,547,641
19,547,643
19,577,770
19,577,771
19,577,785
19,579,770
19,579,771
19,593,785
20,134,388
20,152,400
20,524,772
20,560,784
21,22,52
21,22,148
21,25,49
21,28,148
21,28,532
21,35,135
21,35,147
21,37,517
21,37,521
21,37,525
21,39,135
21,45,521
21,45,525
21,45,548
21,45,549
21,48,145
21,49,145
21,50,532
21,50,534
21,50,548
21,50,564
21,51,147
21,52,532
21,54,180
21,54,532
21,54,534
21,54,548
21,54,564
21,60,548
21,60,564
21,134,140
21,134,141
21,134,156
