base1,base2,base3,base4
7,19,67,259
7,22,70,262
11,35,131,515
11,41,137,521
13,25,73,265
13,28,76,268
14,38,134,518
14,44,140,524
19,22,82,274
23,39,135,263
25,28,88,280
26,50,146,530
26,56,152,536
29,92,156,540
35,37,41,49
35,37,41,545
35,37,49,289
35,37,289,545
35,41,49,161
35,41,161,545
35,49,161,289
35,161,289,545
37,41,49,97
37,41,97,545
37,49,97,289
37,52,100,292
37,97,289,545
38,44,164,548
41,49,97,161
41,97,161,545
46,78,270,526
49,52,112,304
49,97,161,289
50,56,176,560
57,58,184,312
67,70,74,82
67,70,74,578
67,70,82,322
67,70,322,578
67,74,82,194
67,74,194,578
67,82,194,322
67,194,322,578
70,74,82,98
70,74,98,578
70,82,98,322
70,98,322,578
73,76,88,328
74,82,98,194
74,98,194,578
74,104,200,584
75,77,89,105
82,98,194,322
97,100,112,352
97,161,289,545
98,104,224,608
98,194,322,578
114,116,368,624
131,137,161,641
133,134,140,148
133,134,140,644
133,134,148,388
133,134,388,644
133,140,148,196
133,140,196,644
133,145,193,385
133,148,196,388
133,196,388,644
134,140,148,164
134,140,164,644
134,148,164,388
134,164,388,644
139,141,393,649
140,148,164,196
140,164,196,644
145,148,208,400
146,152,176,656
148,164,196,388
150,154,178,210
164,196,388,644
177,209,401,657
193,196,208,448
194,200,224,704
225,228,232,736
259,262,274,322
265,266,268,280
265,266,268,776
265,266,280,392
265,266,392,776
265,268,280,328
265,268,328,776
265,280,328,392
265,328,392,776
266,268,280,296
266,268,296,776
266,280,296,392
266,290,386,770
266,296,392,776
268,280,296,328
268,296,328,776
275,278,282,786
280,296,328,392
289,292,304,352
290,296,416,800
291,354,418,802
296,328,392,776
300,308,356,420
385,388,400,448
386,392,416,896
449,450,456,464
515,521,545,641
517,529,577,769
517,532,580,772
518,524,548,644
523,531,579,643
529,530,532,536
529,530,532,784
529,530,536,656
529,530,656,784
529,532,536,592
529,532,592,784
529,536,592,656
529,592,656,784
530,532,536,560
530,532,560,784
530,536,560,656
530,560,656,784
532,536,560,592
532,560,592,784
536,560,592,656
549,550,556,564
560,592,656,784
577,580,592,832
578,584,608,704
581,582,708,836
600,616,712,840
769,772,784,832
770,776,800,896
773,777,801,833
898,900,912,928
