base1,base2,base3,base4,base5,base6
171,174,234,426,1194,2218
1059,1065,1185,1569,3105,5153
1091,1218,1346,1602,3138,5186
1190,1196,1204,1444,1700,3236
23,29,149,277,533,1045
1099,1101,1113,1129,3145,5193
47,79,143,527,1039,2063
4194,4196,4208,4320,4704,5216
263,270,294,326,1286,2310
2055,2085,2117,2181,2309,6149
3585,3586,3592,3600,3648,3712
3121,3124,3184,3248,3376,3632
2067,2070,2098,2130,2578,3090
6149,6153,6177,6209,6401,6657
7173,7177,7185,7233,7297,7425
2380,2392,2408,2888,3400,6472
531,534,538,562,658,2578
2339,2402,2466,2850,3362,6434
4613,4620,4628,4740,4868,6660
2627,2630,2658,2754,2882,6722
1345,1346,1348,1352,1472,1856
293,294,308,356,804,1316
1549,1550,1580,1676,3596,5644
1793,1796,1800,1824,1856,5888
5380,5384,5392,5408,5888,7424
267,269,281,329,1289,4361
2691,2697,2705,2753,2945,6785
4371,4373,4401,4497,5393,6417
550,554,562,610,674,802
673,674,676,736,928,4768
3141,3148,3172,3396,3652,7236
2567,2573,2597,2629,2821,3589
169,184,232,1192,2216,4264
6177,6180,6184,6304,6432,7200
46,58,298,554,1066,2090
1123,1130,1138,1250,1378,3170
2117,2118,2124,2132,2148,6212
6193,6194,6196,6200,6320,6704
299,301,361,425,809,4393
1201,1233,1425,1681,3217,5265
773,788,804,900,1796,4868
551,555,611,803,2595,4643
5379,5382,5394,5410,5506,5890
2348,2356,2404,2468,2852,3364
4361,4362,4364,4872,5384,6408
1361,1362,1368,1392,1872,3408
3841,3842,3844,3856,3872,3904
2246,2260,2276,2500,2756,6340
7682,7684,7688,7712,7744,7808
2189,2190,2204,2220,2444,3212
57,58,184,312,1080,2104
1574,1586,1698,1826,3618,5666
565,569,625,689,1585,4657
2337,2344,2352,2464,2848,6432
6281,6282,6296,6344,6792,7304
5441,5444,5448,5472,5568,7488
1174,1178,1202,1234,1426,1682
114,116,368,624,2160,4208
199,203,211,227,707,2243
2097,2098,2104,2160,2352,2608
781,796,812,844,908,2828
135,147,163,643,1155,4227
6242,6248,6368,6496,6752,7264
4134,4140,4196,4260,5156,6180
1155,1157,1185,1217,1665,3201
29,92,156,540,1052,4124
3097,3098,3100,3160,3352,7192
4645,4646,4652,4660,5668,6692
4242,4248,4272,4304,4496,5264
4389,4390,4396,4404,4452,4516
2323,2326,2330,2834,3346,6418
961,964,968,976,3008,5056
2722,2724,2736,2784,3744,6816
449,450,456,464,1472,2496
526,540,588,652,2572,4620
1069,1077,1125,1573,3109,5157
1545,1546,1576,1608,1800,3592
2121,2124,2136,2152,2248,2632
1035,1049,1065,1289,1545,5129
4229,4230,4236,4260,4740,6276
92,116,596,1108,2132,4180
4245,4246,4276,4308,4500,6292
531,533,537,1553,2577,4625
4119,4135,4167,4359,4615,5127
4625,4628,4688,4880,5648,6672
1059,1062,1066,1074,3106,5154
1172,1176,1232,1424,3216,5264
2115,2118,2130,2370,3138,6210
46,78,270,526,2062,4110
241,242,244,752,1264,2288
4163,4169,4177,4417,4673,6209
587,589,601,617,713,841
87,117,213,597,1109,4181
4696,4712,4808,4936,5704,6728
1315,1329,1377,1441,3361,5409
681,684,696,936,1704,4776
2123,2138,2154,2250,3146,6218
787,793,849,913,1809,2833
2077,2101,2197,2325,3093,6165
5253,5254,5260,5316,5508,5764
1157,1172,1220,1412,1668,3204
77,89,201,329,2121,4169
1562,1592,1624,1688,1816,5656
586,588,616,712,1608,2632
775,790,838,1798,2822,4870
2690,2692,2696,2704,2944,3712
337,338,368,464,2384,4432
3090,3092,3152,3216,3600,7184
225,228,232,736,1248,4320
4677,4678,4804,4932,5700,6724
7170,7172,7184,7200,7296,7424
94,158,286,1054,2078,4126
2315,2317,2329,2441,2825,3337
4378,4380,4408,4440,4888,6424
395,419,899,1411,2435,4483
586,610,706,834,1602,4674
293,305,353,417,801,2337
4630,4634,4658,4882,5650,6674
394,402,450,898,2434,4482
61,188,316,572,2108,4156
4139,4154,4202,4394,4650,6186
342,348,468,852,2388,4436
197,201,225,449,1217,2241
398,406,422,454,1414,4486
23,39,135,263,1031,2055
2195,2198,2202,2226,2258,6290
1049,1052,1080,1176,1304,5144
1921,1922,1928,1936,1952,6016
4489,4492,4520,4552,5000,5512
609,673,801,1569,2593,4641
2314,2344,2440,2824,3336,6408
4195,4197,4201,4209,4449,5217
2310,2314,2370,2434,3330,6402
2181,2182,2436,2692,3204,6276
595,598,602,722,850,1618
898,900,912,928,2944,4992
5134,5146,5194,5258,5642,7178
147,154,178,402,658,4242
482,484,488,1504,2528,4576
4400,4432,4496,4880,5392,6416
2200,2216,2248,2440,2696,3208
2569,2577,2593,2625,3585,6657
4753,4760,4784,4816,5776,6800
6155,6163,6179,6275,6403,6659
4673,4674,4688,4704,4928,5696
5123,5138,5154,5186,5250,7170
4293,4305,4545,4801,5313,6337
1163,1165,1417,1673,3209,5257
4107,4110,4170,4234,4362,4618
1062,1068,1076,1124,1316,5156
1095,1102,1110,1222,1606,5190
121,122,376,632,1144,4216
4233,4234,4236,4248,4264,4296
4107,4115,4163,4227,4611,5123
1100,1108,1124,1220,1348,1604
275,277,281,305,337,401
